run_id,solve_pass,day,hour,asset_type,asset_id,variable_name,physical_array_index,fixed_value,reason,inequality_status
20260718_162525_stage_0_6a88ecee,pass_1,1,4,solar,2,PP,"PP(1,2,4)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,4,solar,3,PP,"PP(1,3,4)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,4,solar,4,PP,"PP(1,4,4)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,4,solar,5,PP,"PP(1,5,4)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,5,solar,1,PP,"PP(1,1,5)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,5,solar,2,PP,"PP(1,2,5)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,5,solar,3,PP,"PP(1,3,5)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,5,solar,4,PP,"PP(1,4,5)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,5,solar,5,PP,"PP(1,5,5)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,6,solar,1,PP,"PP(1,1,6)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,6,solar,2,PP,"PP(1,2,6)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,6,solar,3,PP,"PP(1,3,6)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,6,solar,4,PP,"PP(1,4,6)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,6,solar,5,PP,"PP(1,5,6)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,7,solar,1,PP,"PP(1,1,7)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,7,solar,2,PP,"PP(1,2,7)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,7,solar,3,PP,"PP(1,3,7)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,7,solar,4,PP,"PP(1,4,7)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,7,solar,5,PP,"PP(1,5,7)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,20,solar,1,PP,"PP(1,1,20)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,20,solar,2,PP,"PP(1,2,20)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,20,solar,3,PP,"PP(1,3,20)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,20,solar,4,PP,"PP(1,4,20)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,20,solar,5,PP,"PP(1,5,20)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,21,solar,1,PP,"PP(1,1,21)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,21,solar,2,PP,"PP(1,2,21)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,21,solar,3,PP,"PP(1,3,21)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,21,solar,4,PP,"PP(1,4,21)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,21,solar,5,PP,"PP(1,5,21)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,22,solar,1,PP,"PP(1,1,22)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,22,solar,2,PP,"PP(1,2,22)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,22,solar,3,PP,"PP(1,3,22)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,22,solar,4,PP,"PP(1,4,22)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,22,solar,5,PP,"PP(1,5,22)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,23,solar,1,PP,"PP(1,1,23)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,23,solar,2,PP,"PP(1,2,23)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,23,solar,3,PP,"PP(1,3,23)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,23,solar,4,PP,"PP(1,4,23)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,23,solar,5,PP,"PP(1,5,23)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,24,solar,1,PP,"PP(1,1,24)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,24,solar,2,PP,"PP(1,2,24)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,24,solar,3,PP,"PP(1,3,24)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,24,solar,4,PP,"PP(1,4,24)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
20260718_162525_stage_0_6a88ecee,pass_1,1,24,solar,5,PP,"PP(1,5,24)",0,zero_availability,NOT_APPLICABLE_BOTH_BOUNDS
